City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Koumra,TD,8.9126,17.5539,87.28,30,69,4.63,broken clouds
1,Mahebourg,MU,-20.4081,57.7,75.49,83,40,3.44,scattered clouds
2,Hithadhoo,MV,-0.6,73.0833,82.49,74,56,12.19,broken clouds
3,Kaitangata,NZ,-46.2817,169.8464,46.04,94,89,7.18,overcast clouds
4,Leningradskaya,RU,46.3214,39.3877,37.8,58,13,11.7,few clouds
5,Ilulissat,GL,69.2167,-51.1,12.22,67,75,2.3,broken clouds
6,Luderitz,NA,-26.6481,15.1594,66.6,72,2,12.64,clear sky
7,Cape Town,ZA,-33.9258,18.4232,70.09,59,0,11.5,clear sky
8,Faanui,PF,-16.4833,-151.75,78.21,73,95,4.92,overcast clouds
9,Takoradi,GH,4.8845,-1.7554,80.78,81,94,10.0,overcast clouds
10,Bredasdorp,ZA,-34.5322,20.0403,64.27,78,98,11.59,overcast clouds
11,Erzurum,TR,40.0,41.5,33.48,43,76,3.96,broken clouds
12,Saskylakh,RU,71.9167,114.0833,-26.41,100,36,5.26,scattered clouds
13,Rikitea,PF,-23.1203,-134.9692,74.55,81,98,14.25,light rain
14,Carnarvon,AU,-24.8667,113.6333,69.87,73,75,17.27,broken clouds
15,Aksarka,RU,66.5606,67.7975,6.31,93,97,7.34,overcast clouds
16,Hermanus,ZA,-34.4187,19.2345,66.9,86,91,9.57,overcast clouds
17,New Norfolk,AU,-42.7826,147.0587,42.3,73,61,1.01,broken clouds
18,Rawson,AR,-43.3002,-65.1023,57.49,51,75,27.63,broken clouds
19,Port Moresby,PG,-9.4431,147.1797,76.75,89,100,3.96,overcast clouds
20,Sur,OM,22.5667,59.5289,76.35,49,15,4.79,few clouds
21,Kurya,RU,51.6003,82.2888,27.61,88,100,16.08,overcast clouds
22,Ushuaia,AR,-54.8,-68.3,46.02,61,75,26.46,broken clouds
23,Torbay,CA,47.6666,-52.7314,44.76,92,90,5.75,overcast clouds
24,Bridlington,GB,54.0831,-0.1919,51.98,78,84,8.1,broken clouds
25,Kavieng,PG,-2.5744,150.7967,81.75,78,97,10.4,light rain
26,Mataura,NZ,-46.1927,168.8643,42.35,99,96,3.0,light rain
27,Souillac,MU,-20.5167,57.5167,75.58,83,40,3.44,scattered clouds
28,Hobart,AU,-42.8794,147.3294,44.46,76,40,1.01,scattered clouds
29,Shingu,JP,33.7333,135.9833,51.6,78,22,6.44,few clouds
30,Katsuyama,JP,36.0617,136.501,50.36,92,8,3.76,clear sky
31,Castro,BR,-24.7911,-50.0119,78.55,46,97,1.74,overcast clouds
32,Vaini,TO,-21.2,-175.2,73.56,94,20,4.61,few clouds
33,Bengkulu,ID,-3.8004,102.2655,76.59,84,100,3.18,overcast clouds
34,Sungaipenuh,ID,-2.0833,101.3833,64.8,81,100,1.07,overcast clouds
35,Dikson,RU,73.5069,80.5464,-8.55,95,92,4.0,overcast clouds
36,Nantucket,US,41.2835,-70.0995,53.01,61,75,14.97,broken clouds
37,Bagdarin,RU,54.4333,113.6,10.69,94,69,2.73,broken clouds
38,Esperance,AU,-33.8667,121.9,60.64,48,87,19.51,overcast clouds
39,Millinocket,US,45.6573,-68.7098,38.91,93,90,6.91,overcast clouds
40,Bluff,NZ,-46.6,168.3333,47.52,89,98,13.02,overcast clouds
41,Mount Isa,AU,-20.7333,139.5,65.97,32,6,11.5,clear sky
42,Okato,NZ,-39.2,173.8833,60.42,88,12,14.97,light rain
43,Jamestown,US,42.097,-79.2353,40.59,90,90,3.0,snow
44,Paramonga,PE,-10.6667,-77.8333,68.58,74,65,10.85,broken clouds
45,Burnie,AU,-41.0667,145.9167,42.93,80,24,7.9,few clouds
46,Papara,BR,-3.9839,-38.7273,86.4,43,6,12.21,clear sky
47,Nabire,ID,-3.3667,135.4833,74.84,93,100,2.59,overcast clouds
48,Thinadhoo,MV,0.5333,72.9333,82.76,73,69,16.2,broken clouds
49,Atuona,PF,-9.8,-139.0333,77.95,75,25,10.96,light rain
50,Oktyabrskoye,RU,43.0645,44.7417,37.54,93,75,6.71,broken clouds
51,Guerrero Negro,MX,27.9769,-114.0611,82.49,26,0,1.99,clear sky
52,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,70,75,29.93,light rain
53,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,61,40,21.85,scattered clouds
54,Krasnoselkup,RU,65.7,82.4667,-6.92,99,74,10.25,broken clouds
55,Coihaique,CL,-45.5752,-72.0662,56.01,41,75,4.61,light rain
56,Anadyr,RU,64.75,177.4833,28.9,86,90,20.13,light snow
57,Wajir,KE,1.7471,40.0573,84.33,51,96,16.53,overcast clouds
58,Qaanaaq,GL,77.484,-69.3632,0.28,68,100,10.65,overcast clouds
59,San Patricio,US,28.017,-97.5169,84.29,47,0,10.51,clear sky
60,Yellowknife,CA,62.456,-114.3525,11.41,95,75,4.61,mist
61,Alugan,PH,12.2188,125.4808,80.06,86,100,12.1,moderate rain
62,Victoria,HK,22.2855,114.1577,71.58,81,52,3.0,broken clouds
63,Pitkyaranta,RU,61.5734,31.4792,36.27,76,100,20.83,overcast clouds
64,Alofi,NU,-19.0595,-169.9187,67.89,100,40,3.44,scattered clouds
65,Eyl,SO,7.9803,49.8164,78.8,67,99,13.62,overcast clouds
66,Saint George,US,37.1041,-113.5841,74.53,43,1,0.0,clear sky
67,Broken Hill,AU,-31.95,141.4333,53.31,66,2,8.05,clear sky
68,Half Moon Bay,US,37.4636,-122.4286,71.62,85,1,6.91,mist
69,Alim,PH,9.5649,122.4876,79.16,83,97,5.79,moderate rain
