City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Antalaha,MG,2021-11-14 05:58:55,-14.9003,50.2788,81.97,59,65,5.73
1,Karratha,AU,2021-11-14 05:58:55,-20.7377,116.8463,89.8,18,31,15.35
2,Agirish,RU,2021-11-14 05:58:55,61.9247,63.0231,12.06,87,24,4.72
3,Sao Joao Da Barra,BR,2021-11-14 05:58:56,-21.6403,-41.0511,66.96,68,98,5.73
4,Mar Del Plata,AR,2021-11-14 05:58:56,-38.0023,-57.5575,65.08,89,90,1.99
5,Kodiak,US,2021-11-14 05:58:56,57.79,-152.4072,24.01,75,60,10.98
6,Kangaatsiaq,GL,2021-11-14 05:58:57,68.3065,-53.4641,11.57,94,64,10.27
7,Danielskuil,ZA,2021-11-14 05:58:57,-28.1887,23.5395,72.27,26,9,11.23
8,Georgetown,MY,2021-11-14 05:56:44,5.4112,100.3354,85.95,75,20,5.01
9,Taloqan,AF,2021-11-14 05:58:57,36.7361,69.5345,48.15,62,86,1.88
10,Thompson,CA,2021-11-14 05:55:26,55.7435,-97.8558,23.16,80,90,2.3
11,Avarua,CK,2021-11-14 05:58:58,-21.2078,-159.775,75.25,88,40,3.44
12,Hirara,JP,2021-11-14 05:58:58,24.8,125.2833,75.06,73,75,14.97
13,Rikitea,PF,2021-11-14 05:58:59,-23.1203,-134.9692,73.49,72,84,12.26
14,New Norfolk,AU,2021-11-14 05:58:59,-42.7826,147.0587,50.92,64,98,5.01
15,Touros,BR,2021-11-14 05:58:59,-5.1989,-35.4608,79.7,71,33,15.57
16,Mogadishu,SO,2021-11-14 05:56:47,2.0371,45.3438,84.07,84,75,11.5
17,Mataura,NZ,2021-11-14 05:55:02,-46.1927,168.8643,53.89,85,97,1.77
18,Erenhot,CN,2021-11-14 05:59:00,43.6475,111.9767,34.27,63,3,1.88
19,Viedma,AR,2021-11-14 05:59:00,-40.8135,-62.9967,54.41,80,12,8.55
20,Saint-Philippe,RE,2021-11-14 05:55:21,-21.3585,55.7679,83.79,73,88,15.1
21,Ushuaia,AR,2021-11-14 05:59:00,-54.8,-68.3,44.26,87,40,9.22
22,Jamestown,US,2021-11-14 05:59:01,42.097,-79.2353,36.99,96,90,15.01
23,Fraga,ES,2021-11-14 05:59:01,41.5229,0.3489,44.58,89,4,2.04
24,Pangnirtung,CA,2021-11-14 05:59:01,66.1451,-65.7125,3.2,85,40,2.3
25,Svetlogorsk,BY,2021-11-14 05:59:02,52.6333,29.7333,33.78,88,100,6.85
26,Paciran,ID,2021-11-14 05:59:02,-6.8767,112.3761,79.59,81,100,2.39
27,Hobart,AU,2021-11-14 05:55:01,-42.8794,147.3294,51.26,68,75,4.0
28,Chapais,CA,2021-11-14 05:59:02,49.7834,-74.8492,31.78,94,100,6.62
29,Ribeira Grande,PT,2021-11-14 05:59:03,38.5167,-28.7,62.31,70,48,29.33
30,Okhotsk,RU,2021-11-14 05:59:03,59.3833,143.3,30.09,93,100,8.99
31,Livingston,GB,2021-11-14 05:58:21,55.9029,-3.5226,47.1,83,89,2.08
32,Tabou,CI,2021-11-14 05:59:04,4.423,-7.3528,76.46,87,61,2.21
33,Ulaanbaatar,MN,2021-11-14 05:59:04,47.9077,106.8832,35.73,30,13,6.71
34,Leningradskiy,RU,2021-11-14 05:59:04,69.3833,178.4167,4.89,97,99,3.78
35,Santa Ana,US,2021-11-14 05:59:05,33.7456,-117.8678,77.85,41,0,0.69
36,Khatanga,RU,2021-11-14 05:59:05,71.9667,102.5,-7.42,92,100,2.48
37,Puerto Ayora,EC,2021-11-14 05:55:22,-0.7393,-90.3518,67.39,80,39,8.08
